album_id,album_name,artist_id,release_year
1,Popular Album,4,2009
2,Affect Album,7,2007
3,Forward Album,1,2007
4,Box Album,6,2009
5,Benefit Album,6,2009
6,Describe Album,5,2023
7,Camera Album,1,2019
8,Detail Album,3,2024
9,Present Album,1,2023
10,Rest Album,2,2006
11,Away Album,7,2006
12,White Album,9,2018
13,Ask Album,2,2016
14,Everybody Album,6,2021
15,Boy Album,10,2009
16,Still Album,5,2022
17,But Album,7,2023
18,Wind Album,10,2011
19,Difficult Album,4,2012
20,Work Album,1,2018
21,Show Album,6,2017
22,Sea Album,6,2009
23,Organization Album,2,2015
24,Red Album,9,2018
25,Toward Album,6,2024
26,Kind Album,5,2013
27,Line Album,8,2009
28,Couple Album,2,2021
29,Partner Album,10,2019
30,Let Album,10,2010
