playlist_id,song_id,added_date
17947,78,2025-03-12
15686,81,2024-06-26
38674,96,2024-03-28
13255,82,2025-09-02
4423,70,2024-12-21
878,78,2024-06-05
35894,41,2025-07-19
23000,70,2024-09-06
13483,26,2024-03-16
35538,71,2025-12-31
33249,78,2025-01-20
23778,41,2024-10-29
30309,37,2025-08-31
20827,33,2024-10-31
19457,16,2025-05-12
8750,37,2024-06-27
4051,21,2024-05-24
7352,89,2025-05-03
13933,9,2026-03-04
39883,57,2026-01-12
2789,59,2024-08-12
23335,71,2024-08-31
39149,49,2024-12-09
15252,90,2025-11-02
8833,5,2024-06-17
15791,98,2024-08-27
37356,13,2025-06-26
31370,80,2024-06-02
14160,57,2024-06-05
3871,70,2025-02-05
16570,44,2025-01-18
23511,111,2025-11-08
7255,46,2024-09-30
5487,104,2026-01-12
29772,96,2024-07-18
27143,78,2025-03-16
19360,69,2025-04-04
29573,84,2025-05-08
15067,34,2025-04-01
30724,14,2025-09-12
23596,52,2025-03-15
10580,88,2026-02-21
15104,24,2025-11-20
25586,32,2024-03-26
31450,68,2025-05-29
31761,93,2025-06-15
3624,45,2024-08-23
36820,46,2024-10-02
30645,25,2026-01-24
20034,89,2025-06-01
20319,18,2024-11-13
16621,7,2024-09-03
16564,109,2025-04-19
33435,74,2024-09-29
12041,96,2026-02-02
28682,76,2025-11-28
36722,110,2025-12-22
5639,104,2025-02-02
8165,24,2025-04-08
12786,110,2024-06-04
30493,110,2024-04-21
27565,113,2025-11-01
14526,3,2024-03-31
26822,10,2025-06-16
6946,107,2024-09-11
29137,93,2024-04-07
16068,42,2024-05-14
35704,28,2024-06-07
2741,91,2025-08-26
17844,33,2024-10-27
19661,9,2025-03-18
30343,59,2025-03-09
37710,11,2025-11-05
6474,86,2024-09-29
26194,23,2024-05-26
28638,104,2025-08-10
6097,59,2024-06-26
5531,106,2025-08-25
36586,49,2025-09-13
27668,30,2024-12-21
30233,107,2025-01-07
19607,103,2024-10-08
26539,43,2026-01-01
17764,62,2024-04-28
25781,98,2025-09-09
7285,52,2026-01-20
1630,113,2025-07-07
2740,118,2025-01-30
19000,98,2024-03-28
24723,119,2025-09-22
14614,52,2026-03-13
19727,36,2026-02-26
15386,118,2025-02-12
34866,73,2024-07-17
13249,67,2025-08-26
14616,63,2025-09-16
37627,47,2025-12-15
38874,3,2025-05-26
38004,54,2024-06-02
33316,68,2026-01-30
24521,91,2025-07-26
37827,34,2024-07-28
26130,60,2024-07-30
7367,2,2025-12-24
15872,82,2025-11-26
18543,88,2024-05-01
22429,8,2024-07-06
31168,24,2025-08-02
25884,74,2024-03-30
9531,112,2025-11-07
34987,116,2026-02-15
4025,54,2024-12-22
1678,102,2025-09-04
27196,22,2025-11-19
12295,34,2025-05-29
25648,15,2025-12-14
11629,41,2024-09-17
26841,78,2025-02-03
20579,12,2025-10-10
32041,93,2025-10-20
36257,52,2026-02-12
34442,66,2024-07-11
8174,107,2024-12-08
9938,78,2026-01-20
24672,21,2025-12-14
31249,44,2025-09-01
31614,84,2026-01-17
832,76,2025-08-28
22507,40,2025-04-09
36878,113,2025-10-28
22277,98,2025-12-23
32099,111,2024-06-03
2867,99,2026-01-18
8650,94,2025-07-30
27557,59,2025-12-05
2716,41,2025-03-13
31221,71,2025-11-23
24599,79,2024-08-24
14690,23,2024-03-20
35136,37,2024-12-01
31237,12,2025-06-12
19005,28,2025-03-13
16714,17,2024-12-19
16233,44,2025-12-09
30679,22,2025-04-25
14511,8,2025-10-14
16449,112,2026-02-24
5344,107,2024-03-22
20008,36,2025-11-27
21997,37,2024-09-20
2783,38,2024-05-16
39946,72,2024-08-12
7928,22,2025-04-12
36417,57,2025-08-28
16175,30,2025-07-31
15019,76,2025-04-03
39797,120,2026-01-09
33157,48,2025-08-20
8413,54,2024-09-17
19559,7,2025-02-02
22207,89,2024-10-07
13304,113,2024-07-13
28547,72,2024-08-12
37684,100,2024-05-23
24573,49,2025-02-18
16952,63,2024-10-12
21105,51,2024-04-17
17785,58,2025-04-07
37084,110,2024-12-24
31636,95,2024-04-17
10958,104,2025-09-10
39728,86,2025-04-11
7716,107,2025-07-24
16148,59,2024-09-26
22031,41,2025-07-20
35503,105,2024-10-12
23007,56,2026-01-15
25886,51,2026-02-27
26794,93,2025-09-23
20214,105,2025-06-11
32363,70,2025-05-18
26188,106,2025-04-02
25270,41,2024-03-17
37614,44,2025-08-30
13001,96,2024-06-23
27864,76,2025-10-20
11370,64,2025-01-03
6442,5,2025-01-21
20201,105,2024-06-20
29514,39,2025-08-02
11727,106,2025-05-08
2631,111,2024-09-18
21945,97,2025-11-10
27007,116,2026-02-12
24915,12,2024-03-18
38417,45,2025-10-31
29708,115,2024-09-13
23849,28,2025-06-20
10189,32,2025-08-27
23301,11,2026-02-23
13057,28,2025-10-10
566,119,2025-08-01
34064,60,2024-08-20
27912,95,2025-02-16
6043,25,2024-06-05
14732,39,2024-03-31
29700,101,2024-12-01
27035,9,2024-07-25
14993,103,2025-07-25
11578,60,2025-09-05
39959,10,2026-02-08
38636,28,2026-02-25
26855,12,2025-01-24
15475,86,2025-01-07
5992,104,2024-05-10
30743,63,2024-12-20
8703,79,2024-06-05
36511,72,2024-08-11
28553,69,2025-05-29
39331,54,2024-07-22
19946,17,2025-05-06
12042,83,2024-12-13
15864,82,2024-09-21
26773,72,2025-06-21
36262,91,2026-02-13
35839,53,2025-05-04
16618,68,2024-05-08
19013,43,2024-08-09
29508,78,2026-01-12
14360,28,2025-12-29
21514,89,2024-08-21
15584,78,2024-12-18
398,63,2025-09-29
23885,85,2025-10-04
23230,27,2025-08-06
10277,74,2026-03-01
1805,8,2025-05-12
17493,115,2025-05-07
20231,66,2024-05-06
30811,51,2024-11-20
17776,101,2024-03-23
5231,11,2024-10-17
17583,91,2024-06-30
5441,5,2024-05-16
7817,11,2025-02-07
35733,51,2024-10-08
39733,71,2024-08-06
7532,86,2025-06-07
22221,14,2024-10-25
39121,108,2025-02-23
15298,118,2024-09-30
14054,16,2025-02-19
27093,67,2024-03-23
34113,17,2024-08-01
17495,93,2024-11-04
35942,1,2025-01-23
10716,89,2025-03-16
21006,30,2025-07-11
23796,83,2025-08-07
7082,100,2025-03-13
7183,51,2024-04-02
30496,120,2024-11-29
4716,82,2025-03-18
23112,4,2025-11-06
18844,15,2024-11-14
27198,80,2024-12-22
35402,114,2025-10-18
33191,53,2024-05-28
4000,63,2025-07-13
22332,86,2024-09-16
166,101,2024-11-10
31039,21,2025-11-16
13607,77,2024-06-24
29187,86,2025-07-29
19808,19,2024-06-10
4209,5,2024-09-14
20788,86,2026-02-23
334,26,2024-08-31
26078,111,2024-04-02
26265,11,2024-11-24
36045,99,2024-05-03
4371,6,2025-09-22
12554,70,2025-09-24
26134,106,2025-03-14
24688,21,2024-07-08
4116,44,2025-03-02
7123,29,2024-08-19
4921,54,2024-12-08
19640,107,2025-05-01
2139,102,2024-08-11
7295,116,2025-07-24
16141,93,2025-09-06
16798,17,2024-12-10
7106,10,2024-12-07
31171,89,2025-06-11
16088,11,2025-05-25
39839,47,2025-02-05
7541,87,2025-12-26
36366,3,2025-05-28
17017,75,2025-10-29
23275,63,2024-12-04
28096,25,2025-01-24
6677,42,2024-11-10
10356,75,2025-07-31
17479,17,2025-04-18
17714,105,2024-03-31
6072,77,2024-08-03
27370,55,2025-04-16
19863,100,2025-08-12
24914,76,2025-07-02
10525,108,2024-03-31
15317,58,2025-09-22
28355,93,2025-06-09
17730,118,2025-01-30
7974,89,2024-03-26
26207,5,2024-06-09
17329,96,2026-02-14
3770,32,2025-09-08
23344,27,2025-04-11
1476,7,2024-09-19
29654,60,2024-12-16
15564,33,2026-03-11
6453,94,2025-05-07
12659,80,2025-09-10
26242,30,2025-02-20
30665,27,2025-04-01
25155,26,2024-08-17
2853,89,2025-09-21
5598,59,2025-05-01
1348,83,2024-08-04
37051,38,2026-02-25
19001,71,2024-07-30
17753,87,2025-12-26
24435,2,2024-06-13
34339,92,2024-12-09
23290,44,2025-11-28
38540,76,2024-12-21
25849,99,2024-12-31
13393,104,2024-05-12
36,87,2024-05-21
1947,19,2025-09-19
25113,31,2025-02-01
36700,56,2025-06-17
20446,50,2024-10-15
28173,52,2025-01-09
15906,74,2025-12-01
18310,17,2025-03-19
37896,84,2024-05-25
30613,17,2026-01-14
29135,103,2024-07-17
20292,98,2026-01-17
25523,44,2026-02-20
25651,36,2025-06-15
18983,115,2024-11-09
1210,23,2024-11-05
17733,55,2025-02-04
2013,51,2025-11-24
23763,104,2024-10-13
10859,42,2024-05-22
13971,114,2024-09-27
36867,42,2025-09-05
3892,113,2025-11-17
7170,81,2025-03-03
12799,94,2024-11-18
9066,65,2025-04-29
21584,77,2026-03-08
10440,26,2025-03-01
7263,5,2025-08-09
27836,38,2024-08-18
12075,48,2025-06-24
35340,108,2024-09-21
347,3,2025-10-09
7331,42,2025-02-08
11191,60,2025-05-30
18036,63,2024-09-19
16538,108,2025-02-05
29031,62,2025-12-24
22194,10,2024-11-20
13817,105,2025-02-03
6973,13,2025-05-03
6974,118,2024-08-31
24693,53,2026-02-05
5559,91,2024-08-05
39736,67,2025-11-11
17790,89,2026-02-15
8248,30,2025-05-27
26334,65,2025-04-27
12031,32,2026-03-06
9624,63,2024-11-24
27900,104,2024-03-18
39435,59,2025-04-22
5097,75,2024-10-26
26372,80,2025-02-22
34806,64,2025-02-21
38875,20,2026-02-11
6749,10,2026-02-18
9129,74,2025-02-27
1053,65,2024-05-12
23663,87,2024-07-31
31756,18,2025-10-17
8202,91,2024-10-16
29507,10,2024-09-07
31545,16,2025-03-23
26495,33,2024-09-30
9488,109,2026-01-06
28339,45,2025-04-01
20665,62,2025-03-26
36855,99,2024-06-20
21355,31,2024-07-16
25626,48,2025-02-04
15079,17,2024-11-18
35302,104,2025-06-01
11063,62,2024-08-09
34101,35,2025-07-01
25820,103,2024-08-19
29159,116,2026-02-19
24488,80,2025-02-16
4121,70,2024-12-19
8291,12,2025-07-06
17364,117,2026-01-19
6013,98,2025-06-23
14717,52,2024-11-02
15471,50,2025-12-20
11978,40,2025-10-18
39269,115,2025-04-29
25075,7,2026-01-20
31999,26,2026-02-26
26313,25,2025-08-15
3215,72,2024-10-05
32168,7,2024-08-25
30801,107,2025-08-22
37435,70,2024-10-07
9711,41,2025-07-21
9157,106,2025-03-12
27506,99,2026-01-10
34909,113,2025-07-26
24784,91,2025-04-06
36792,114,2024-09-06
7368,27,2026-01-13
10583,86,2025-12-13
21890,14,2025-03-03
5145,116,2025-03-25
28573,66,2024-09-04
1190,9,2024-04-22
16228,61,2025-08-23
12797,38,2025-12-20
16125,62,2026-02-24
10463,51,2025-04-21
2188,104,2025-06-21
13107,20,2025-03-11
30316,56,2025-04-03
19538,99,2025-12-27
34298,89,2025-04-08
7335,100,2024-06-28
39354,106,2025-11-29
399,1,2024-08-22
6940,31,2025-11-05
9088,1,2025-11-19
7819,8,2024-11-23
26931,98,2025-12-29
22987,81,2024-08-26
32635,118,2024-10-14
15454,84,2025-05-20
13627,76,2024-12-19
33003,6,2024-12-23
1323,95,2025-03-08
8830,65,2026-01-04
33854,67,2025-06-04
38550,59,2026-02-27
2186,32,2026-01-31
28547,44,2026-03-03
2342,45,2025-11-30
27904,100,2024-04-20
38159,33,2025-01-30
2166,58,2024-08-10
9378,41,2024-09-15
24480,3,2025-12-23
2774,118,2024-05-31
35499,62,2024-07-24
29870,88,2025-01-25
19657,106,2025-04-18
5226,9,2024-10-29
19829,111,2025-06-01
1950,13,2025-10-24
15790,8,2026-01-30
33011,29,2024-11-22
25253,93,2025-11-24
5349,55,2024-09-16
32243,117,2024-12-15
36699,19,2025-08-06
12551,92,2025-02-01
8100,68,2025-12-04
2603,70,2024-07-30
6735,99,2026-01-26
16249,4,2026-01-10
23654,82,2026-01-10
32754,112,2025-03-13
25078,40,2025-06-13
20663,80,2025-04-18
5139,60,2025-11-18
18488,50,2024-11-04
19552,80,2025-07-13
35100,13,2024-10-24
35675,66,2025-10-17
33768,14,2024-04-24
39722,83,2024-07-07
3069,79,2025-08-27
27863,102,2025-04-15
18700,5,2026-01-11
14301,6,2025-12-01
28792,64,2025-05-18
11673,106,2024-09-29
9424,78,2024-12-06
21125,42,2024-08-15
30058,113,2025-09-09
30286,10,2024-03-24
27633,19,2024-08-05
27998,71,2024-12-20
33406,65,2025-11-11
28148,68,2025-05-04
11615,56,2025-12-10
19129,62,2025-12-11
9640,56,2024-08-29
27293,111,2025-04-05
30556,110,2024-09-24
16136,79,2024-11-28
11971,43,2025-10-06
4931,67,2025-05-01
7401,50,2025-08-01
31471,97,2025-07-28
23639,13,2025-03-01
38520,41,2024-09-13
38431,48,2025-04-25
28382,62,2025-05-14
4600,8,2025-09-20
10299,18,2024-06-28
31430,91,2024-03-16
8638,54,2026-01-19
11001,1,2024-08-22
14048,90,2024-05-12
22184,15,2026-03-11
4088,102,2024-08-21
15056,76,2025-05-13
18574,109,2025-10-16
26562,30,2025-09-05
1512,53,2025-05-20
27288,92,2025-06-03
7013,48,2025-02-15
24326,7,2026-01-11
37428,22,2025-06-22
6541,59,2025-07-10
35735,76,2025-05-17
36495,24,2024-10-15
18983,12,2025-03-16
3520,69,2024-10-10
4945,49,2026-01-13
39252,49,2024-11-03
13098,103,2024-08-24
34140,26,2024-11-10
4908,64,2024-07-10
38509,50,2025-05-08
9421,74,2024-05-24
